student_id,gender,branch,category,department,heightcm,weightkg,financial_status,parttime_job
43,Male,CSE,OBC,commerce,159.0,95.0,good,no
44,Male,CSE,GEN,commerce,160.0,70.0,good,yes
45,Male,CSE,GEN,commerce,160.0,65.0,good,yes
46,Male,CSE,GEN,b.com accounting and finance,154.0,45.0,good,no
47,Male,CSE,GEN,b.com accounting and finance,160.0,80.0,good,no
48,Male,CSE,GEN,b.com accounting and finance,125.0,83.0,good,no
49,Female,CSE,ST,b.com accounting and finance,156.0,70.0,good,no
50,Male,CSE,GEN,b.com accounting and finance,155.0,55.0,good,no
51,Female,CSE,GEN,b.com accounting and finance,153.0,56.0,awful,yes
52,Female,CSE,GEN,b.com accounting and finance,157.0,53.0,bad,no
53,Female,CSE,GEN,b.com accounting and finance,170.0,65.0,good,no
54,Female,CSE,GEN,commerce,159.0,67.0,bad,no
55,Male,CSE,GEN,commerce,180.0,43.0,good,no
56,Female,CSE,OBC,commerce,125.0,47.0,bad,no
57,Female,CSE,OBC,commerce,156.0,52.0,bad,yes
58,Male,CSE,GEN,commerce,167.0,62.0,good,no
59,Male,CSE,GEN,commerce,152.0,60.0,good,no
60,Male,CSE,GEN,b.com accounting and finance,152.0,50.0,bad,yes
61,Female,CSE,GEN,commerce,146.0,61.0,good,no
62,Male,CSE,GEN,commerce,156.0,42.0,good,no
63,Female,CSE,GEN,commerce,190.0,90.0,bad,yes
64,Male,CSE,GEN,bca,155.0,89.0,awful,yes
65,Male,CSE,GEN,bca,160.0,55.0,good,no
66,Male,CSE,GEN,bca,153.0,75.0,good,yes
67,Male,CSE,GEN,bca,160.0,42.0,good,no
68,Female,CSE,GEN,bca,125.0,93.0,bad,no
69,Male,CSE,GEN,bca,157.0,58.0,good,no
70,Male,CSE,OBC,bca,162.0,73.0,good,no
71,Female,CSE,GEN,bca,125.0,78.0,bad,yes
72,Male,CSE,OBC,bca,162.0,60.0,good,no
73,Male,CSE,OBC,bca,160.0,35.0,bad,no
74,Female,CSE,GEN,bca,190.0,70.0,good,no
75,Male,CSE,GEN,bca,160.0,60.0,good,yes
76,Female,CSE,SC,bca,150.0,74.0,good,no
77,Female,CSE,GEN,bca,175.0,65.0,good,no
78,Male,CSE,GEN,bca,172.0,91.0,good,no
79,Male,ECE,GEN,bca,157.0,76.0,fabulous,no
80,Male,ECE,GEN,bca,125.0,60.0,awful,no
81,Male,ECE,GEN,bca,155.0,52.0,bad,no
82,Female,ECE,GEN,bca,156.0,58.0,good,no
83,Male,ECE,GEN,bca,125.0,64.0,bad,no
84,Male,ECE,GEN,bca,170.0,67.0,awful,yes
85,Male,ECE,GEN,bca,171.0,60.0,good,yes
86,Male,ECE,GEN,bca,177.0,75.0,bad,no
87,Female,ECE,GEN,bca,170.0,45.0,good,no
88,Male,ECE,GEN,bca,180.0,75.0,good,no
89,Male,ECE,GEN,bca,174.0,54.0,awful,no
90,Female,ECE,GEN,bca,172.0,56.0,good,no
91,Male,ECE,GEN,bca,153.0,50.0,good,no
92,Male,ECE,GEN,bca,158.0,75.0,good,no
93,Female,ECE,GEN,bca,177.0,70.0,good,no
94,Male,ECE,GEN,bca,175.0,65.0,good,no
95,Male,ECE,GEN,bca,170.0,70.0,good,yes
96,Male,ECE,GEN,bca,180.0,80.0,good,no
97,Male,ECE,GEN,bca,125.0,42.0,awful,no
98,Male,ECE,OBC,bca,170.0,70.0,good,no
99,Female,ECE,GEN,bca,178.0,83.0,good,no
100,Male,ECE,GEN,bca,180.0,67.0,good,no
101,Male,ECE,GEN,bca,150.0,48.0,bad,no
102,Male,ECE,GEN,bca,170.0,50.0,good,no
103,Male,ECE,GEN,bca,162.0,65.0,good,no
104,Male,ECE,GEN,bca,170.0,65.0,bad,no
105,Female,ECE,GEN,bca,153.0,63.0,bad,no
106,Female,ECE,OBC,bca,165.0,84.0,bad,no
107,Male,ECE,SC,bca,163.0,60.0,good,no
108,Male,ECE,GEN,bca,183.0,80.0,bad,no
109,Male,ECE,OBC,bca,175.0,85.0,bad,no
110,Female,ECE,GEN,bca,156.0,53.0,bad,no
111,Male,ECE,SC,bca,154.0,50.0,bad,yes
112,Male,ECE,GEN,bca,172.0,49.0,good,no
113,Male,ECE,SC,bca,155.0,52.0,good,no
114,Male,ECE,GEN,bca,172.0,72.0,bad,no
115,Male,ECE,GEN,bca,181.0,60.0,awful,yes
116,Male,ECE,OBC,bca,150.0,65.0,bad,no
117,Male,ECE,GEN,bca,179.0,70.0,good,no
118,Male,ECE,OBC,bca,187.0,65.0,good,no
119,Male,ECE,GEN,bca,167.0,80.0,bad,yes
120,Male,ECE,OBC,bca,170.0,50.0,good,no
121,Male,ECE,GEN,b.com accounting and finance,132.0,57.0,good,yes
122,Female,ECE,OBC,bca,169.0,85.0,good,no
123,Female,ECE,GEN,bca,150.0,60.0,bad,yes
124,Male,ECE,GEN,bca,180.0,75.0,good,no
125,Female,ECE,OBC,bca,154.0,45.0,good,no
126,Male,ECE,GEN,bca,139.0,62.0,good,no
127,Male,ECE,GEN,bca,175.0,60.0,bad,no
128,Male,EEE,GEN,bca,172.0,72.0,good,no
129,Male,EEE,SC,bca,170.0,55.0,bad,no
130,Male,EEE,GEN,bca,170.0,65.0,bad,no
131,Male,EEE,GEN,bca,185.0,65.0,awful,no
132,Male,EEE,GEN,bca,177.0,57.0,good,no
133,Female,EEE,GEN,bca,170.0,86.0,good,no
134,Male,EEE,GEN,b.com accounting and finance,174.0,65.0,good,no
135,Male,EEE,GEN,bca,167.0,72.0,good,no
136,Female,EEE,GEN,bca,155.0,48.0,good,no
137,Male,EEE,OBC,bca,134.0,40.0,good,no
138,Male,EEE,GEN,bca,159.0,51.0,bad,no
139,Male,EEE,GEN,bca,150.0,50.0,good,yes
140,Male,EEE,OBC,bca,150.0,40.0,good,no
141,Female,EEE,GEN,bca,180.0,85.0,good,no
142,Female,EEE,GEN,bca,125.0,55.0,good,no
143,Male,EEE,GEN,bca,182.0,58.0,good,no
144,Male,EEE,OBC,bca,165.0,67.0,bad,yes
145,Male,EEE,GEN,b.com accounting and finance,160.0,38.0,good,no
146,Female,EEE,GEN,b.com accounting and finance,170.0,80.0,bad,no
147,Male,EEE,GEN,bca,165.0,45.0,fabulous,yes
148,Male,EEE,GEN,b.com accounting and finance,148.0,78.0,bad,no
149,Male,EEE,GEN,b.com accounting and finance,130.0,35.0,bad,no
150,Male,EEE,OBC,bca,140.0,45.0,bad,no
151,Male,EEE,GEN,bca,175.0,70.0,bad,no
152,Male,EEE,OBC,bca,175.0,76.0,good,no
153,Female,EEE,GEN,bca,160.0,70.0,good,no
154,Male,EEE,GEN,bca,155.0,43.0,awful,no
155,Female,EEE,GEN,bca,156.0,50.0,bad,no
156,Male,EEE,GEN,bca,160.0,50.0,bad,no
157,Male,EEE,GEN,bca,175.0,68.9,good,no
158,Female,EEE,OBC,bca,155.0,50.0,bad,yes
159,Male,EEE,GEN,commerce,150.0,55.0,bad,no
160,Male,EEE,GEN,commerce,165.0,75.0,good,yes
161,Female,EEE,GEN,commerce,156.0,50.0,bad,no
162,Male,EEE,GEN,commerce,167.0,53.0,bad,no
163,Male,EEE,GEN,commerce,165.0,64.0,good,yes
164,Male,EEE,GEN,commerce,190.0,100.0,bad,yes
165,Male,EEE,GEN,commerce,192.0,85.0,bad,no
166,Male,EEE,OBC,commerce,173.0,58.0,good,no
167,Male,EEE,GEN,commerce,145.0,60.0,good,no
168,Male,EEE,GEN,commerce,170.0,90.0,good,no
169,Male,EEE,GEN,commerce,169.0,65.0,good,no
170,Male,EEE,GEN,commerce,175.0,59.0,good,no
171,Male,EEE,GEN,commerce,150.0,42.0,fabulous,no
172,Male,EEE,GEN,commerce,178.0,60.0,bad,yes
173,Male,EEE,GEN,commerce,157.0,40.0,bad,no
174,Male,IT,GEN,commerce,160.0,40.0,good,yes
175,Female,IT,GEN,commerce,159.0,80.0,bad,no
176,Male,IT,OBC,commerce,182.0,57.0,bad,no
177,Male,IT,OBC,commerce,150.0,54.0,bad,no
178,Female,IT,OBC,commerce,154.0,62.0,bad,no
179,Female,IT,SC,commerce,165.0,75.0,awful,no
180,Male,IT,GEN,commerce,150.0,40.0,bad,no
181,Male,IT,SC,b.com ism,149.0,50.0,bad,no
182,Female,IT,GEN,b.com ism,150.0,48.0,bad,yes
183,Male,IT,GEN,b.com ism,160.0,50.0,bad,no
184,Male,IT,GEN,b.com ism,173.0,92.0,good,no
185,Male,IT,SC,b.com ism,150.0,48.0,bad,no
186,Male,IT,GEN,b.com ism,163.0,80.0,awful,no
187,Female,IT,OBC,b.com ism,168.0,48.0,bad,no
188,Male,IT,GEN,b.com ism,162.0,85.0,good,no
189,Male,MECH,GEN,b.com ism,170.0,80.0,good,no
190,Male,MECH,GEN,b.com ism,145.0,50.0,awful,no
191,Male,MECH,GEN,b.com ism,160.0,52.0,good,no
192,Male,MECH,GEN,b.com ism,180.0,65.0,good,no
193,Male,MECH,GEN,b.com ism,149.0,35.0,good,no
194,Male,MECH,GEN,b.com ism,173.0,60.0,bad,no
195,Male,MECH,GEN,b.com ism,149.0,40.0,good,no
196,Male,MECH,OBC,b.com ism,170.0,55.0,good,yes
197,Male,MECH,GEN,b.com ism,155.0,39.0,good,no
198,Male,MECH,GEN,b.com ism,153.0,45.0,good,no
199,Male,MECH,SC,b.com ism,170.0,65.0,good,no
200,Male,MECH,GEN,b.com ism,173.0,75.0,bad,no
201,Male,MECH,GEN,b.com ism,170.0,60.0,good,yes
202,Male,MECH,GEN,b.com ism,125.0,74.0,bad,yes
203,Male,MECH,GEN,commerce,160.0,68.0,good,no
204,Male,MECH,GEN,commerce,140.0,86.0,bad,no
205,Female,MECH,GEN,commerce,165.0,60.0,bad,no
206,Male,MECH,GEN,commerce,161.0,55.0,bad,no
207,Male,MECH,GEN,commerce,146.0,39.0,good,no
208,Male,MECH,GEN,commerce,155.0,70.0,good,yes
209,Male,MECH,GEN,commerce,125.0,80.0,fabulous,yes
210,Male,MECH,GEN,commerce,160.0,70.0,bad,yes
211,Male,MECH,GEN,commerce,152.0,32.0,good,no
212,Male,MECH,OBC,commerce,168.0,75.0,good,no
213,Male,PROD,GEN,commerce,152.0,64.0,good,no
214,Male,PROD,OBC,commerce,156.0,45.0,bad,yes
215,Female,PROD,GEN,commerce,151.0,55.0,good,yes
216,Male,PROD,OBC,commerce,165.0,62.0,good,no
217,Male,PROD,ST,commerce,160.0,60.0,good,no
218,Male,PROD,GEN,commerce,153.0,58.0,good,no
219,Male,PROD,GEN,commerce,175.0,75.0,good,no
220,Male,PROD,OBC,commerce,161.0,54.0,bad,no
221,Male,PROD,GEN,commerce,160.0,60.0,bad,no
222,Male,ECE,GEN,commerce,153.0,45.0,good,no
223,Male,ECE,GEN,commerce,160.0,50.0,bad,no
224,Male,ECE,GEN,commerce,170.0,65.0,bad,no
225,Male,ECE,GEN,commerce,152.0,65.0,good,yes
226,Male,ECE,GEN,commerce,164.0,43.0,good,no
227,Male,ECE,GEN,commerce,167.0,65.0,good,no
228,Male,ECE,GEN,b.com ism,167.0,55.0,bad,no
229,Male,ECE,GEN,b.com ism,155.0,68.0,good,no
230,Male,ECE,GEN,b.com ism,153.0,60.0,bad,no
231,Male,ECE,GEN,b.com ism,170.0,76.0,bad,no
232,Male,ECE,GEN,b.com ism,172.0,52.0,good,no
233,Male,ECE,GEN,bca,139.0,33.0,good,no
234,Male,ECE,GEN,commerce,153.0,58.0,good,no
235,Male,ECE,GEN,b.com ism,155.0,39.0,good,no
236,Male,ECE,GEN,bca,160.0,60.0,good,no
237,Male,ECE,GEN,bca,160.0,60.0,good,no
238,Male,ECE,GEN,bca,160.0,60.0,good,no
239,Male,ECE,GEN,bca,160.0,60.0,good,no
240,Male,ECE,GEN,bca,160.0,60.0,good,no
241,Male,ECE,GEN,bca,160.0,60.0,good,no
242,Male,ECE,GEN,bca,160.0,60.0,good,no
243,Male,ECE,GEN,bca,160.0,60.0,good,no
244,Male,ECE,GEN,bca,160.0,60.0,good,no
245,Male,ECE,GEN,bca,160.0,60.0,good,no
246,Male,ECE,GEN,bca,160.0,60.0,good,no
247,Male,ECE,GEN,bca,160.0,60.0,good,no
248,Male,ECE,GEN,bca,160.0,60.0,good,no
249,Male,ECE,GEN,bca,160.0,60.0,good,no
250,Male,ECE,GEN,bca,160.0,60.0,good,no
251,Male,ECE,GEN,bca,160.0,60.0,good,no
252,Male,ECE,GEN,bca,160.0,60.0,good,no
253,Male,ECE,GEN,bca,160.0,60.0,good,no
254,Male,ECE,GEN,bca,160.0,60.0,good,no
255,Male,ECE,GEN,bca,160.0,60.0,good,no
256,Male,ECE,GEN,bca,160.0,60.0,good,no
257,Male,ECE,GEN,bca,160.0,60.0,good,no
258,Male,ECE,GEN,bca,160.0,60.0,good,no
259,Male,ECE,GEN,bca,160.0,60.0,good,no
260,Male,ECE,GEN,bca,160.0,60.0,good,no
261,Male,ECE,GEN,bca,160.0,60.0,good,no
262,Male,ECE,GEN,bca,160.0,60.0,good,no
263,Male,ECE,GEN,bca,160.0,60.0,good,no
264,Male,ECE,GEN,bca,160.0,60.0,good,no
265,Male,ECE,GEN,bca,160.0,60.0,good,no
266,Male,ECE,GEN,bca,160.0,60.0,good,no
267,Male,ECE,GEN,bca,160.0,60.0,good,no
268,Male,ECE,GEN,bca,160.0,60.0,good,no
269,Male,ECE,GEN,bca,160.0,60.0,good,no
270,Male,ECE,GEN,bca,160.0,60.0,good,no
271,Male,ECE,GEN,bca,160.0,60.0,good,no
272,Male,ECE,GEN,bca,160.0,60.0,good,no
273,Male,ECE,GEN,bca,160.0,60.0,good,no
274,Male,ECE,GEN,bca,160.0,60.0,good,no
275,Male,ECE,GEN,bca,160.0,60.0,good,no
276,Male,ECE,GEN,bca,160.0,60.0,good,no
277,Male,ECE,GEN,bca,160.0,60.0,good,no
278,Male,ECE,GEN,bca,160.0,60.0,good,no
279,Male,ECE,GEN,bca,160.0,60.0,good,no
280,Male,ECE,GEN,bca,160.0,60.0,good,no
281,Male,ECE,GEN,bca,160.0,60.0,good,no
282,Male,ECE,GEN,bca,160.0,60.0,good,no
283,Male,ECE,GEN,bca,160.0,60.0,good,no
284,Male,ECE,GEN,bca,160.0,60.0,good,no
285,Male,ECE,GEN,bca,160.0,60.0,good,no
286,Male,ECE,GEN,bca,160.0,60.0,good,no
287,Male,ECE,GEN,bca,160.0,60.0,good,no
288,Male,ECE,GEN,bca,160.0,60.0,good,no
289,Male,ECE,GEN,bca,160.0,60.0,good,no
290,Male,ECE,GEN,bca,160.0,60.0,good,no
291,Male,ECE,GEN,bca,160.0,60.0,good,no
292,Male,ECE,GEN,bca,160.0,60.0,good,no
293,Male,ECE,GEN,bca,160.0,60.0,good,no
294,Male,ECE,GEN,bca,160.0,60.0,good,no
295,Male,ECE,GEN,bca,160.0,60.0,good,no
296,Male,ECE,GEN,bca,160.0,60.0,good,no
297,Male,ECE,GEN,bca,160.0,60.0,good,no
298,Male,ECE,GEN,bca,160.0,60.0,good,no
299,Male,ECE,GEN,bca,160.0,60.0,good,no
300,Male,ECE,GEN,bca,160.0,60.0,good,no
301,Male,ECE,GEN,bca,160.0,60.0,good,no
302,Male,ECE,GEN,bca,160.0,60.0,good,no
303,Male,ECE,GEN,bca,160.0,60.0,good,no
304,Male,ECE,GEN,bca,160.0,60.0,good,no
305,Male,ECE,GEN,bca,160.0,60.0,good,no
306,Male,ECE,GEN,bca,160.0,60.0,good,no
307,Male,ECE,GEN,bca,160.0,60.0,good,no
308,Male,ECE,GEN,bca,160.0,60.0,good,no
309,Male,ECE,GEN,bca,160.0,60.0,good,no
310,Male,ECE,GEN,bca,160.0,60.0,good,no
311,Male,ECE,GEN,bca,160.0,60.0,good,no
312,Male,ECE,GEN,bca,160.0,60.0,good,no
313,Male,ECE,GEN,bca,160.0,60.0,good,no
314,Male,ECE,GEN,bca,160.0,60.0,good,no
315,Male,ECE,GEN,bca,160.0,60.0,good,no
316,Male,ECE,GEN,bca,160.0,60.0,good,no
317,Male,ECE,GEN,bca,160.0,60.0,good,no
318,Male,ECE,GEN,bca,160.0,60.0,good,no
319,Male,ECE,GEN,bca,160.0,60.0,good,no
320,Male,ECE,GEN,bca,160.0,60.0,good,no
321,Male,ECE,GEN,bca,160.0,60.0,good,no
322,Male,ECE,GEN,bca,160.0,60.0,good,no
323,Male,ECE,GEN,bca,160.0,60.0,good,no
324,Male,ECE,GEN,bca,160.0,60.0,good,no
325,Male,ECE,GEN,bca,160.0,60.0,good,no
326,Male,ECE,GEN,bca,160.0,60.0,good,no
327,Male,ECE,GEN,bca,160.0,60.0,good,no
328,Male,ECE,GEN,bca,160.0,60.0,good,no
329,Male,ECE,GEN,bca,160.0,60.0,good,no
330,Male,ECE,GEN,bca,160.0,60.0,good,no
331,Male,ECE,GEN,bca,160.0,60.0,good,no
332,Male,ECE,GEN,bca,160.0,60.0,good,no
333,Male,ECE,GEN,bca,160.0,60.0,good,no
334,Male,ECE,GEN,bca,160.0,60.0,good,no
335,Male,ECE,GEN,bca,160.0,60.0,good,no
336,Male,ECE,GEN,bca,160.0,60.0,good,no
337,Male,ECE,GEN,bca,160.0,60.0,good,no
338,Male,ECE,GEN,bca,160.0,60.0,good,no
339,Male,ECE,GEN,bca,160.0,60.0,good,no
340,Male,ECE,GEN,bca,160.0,60.0,good,no
341,Male,ECE,GEN,bca,160.0,60.0,good,no
342,Male,ECE,GEN,bca,160.0,60.0,good,no
343,Male,ECE,GEN,bca,160.0,60.0,good,no
344,Male,ECE,GEN,bca,160.0,60.0,good,no
345,Male,ECE,GEN,bca,160.0,60.0,good,no
346,Male,ECE,GEN,bca,160.0,60.0,good,no
347,Male,ECE,GEN,bca,160.0,60.0,good,no
348,Male,ECE,GEN,bca,160.0,60.0,good,no
349,Male,ECE,GEN,bca,160.0,60.0,good,no
350,Male,ECE,GEN,bca,160.0,60.0,good,no
351,Male,ECE,GEN,bca,160.0,60.0,good,no
352,Male,ECE,GEN,bca,160.0,60.0,good,no
353,Male,ECE,GEN,bca,160.0,60.0,good,no
354,Male,ECE,GEN,bca,160.0,60.0,good,no
355,Male,ECE,GEN,bca,160.0,60.0,good,no
356,Male,ECE,GEN,bca,160.0,60.0,good,no
357,Male,ECE,GEN,bca,160.0,60.0,good,no
358,Male,ECE,GEN,bca,160.0,60.0,good,no
359,Male,ECE,GEN,bca,160.0,60.0,good,no
360,Male,ECE,GEN,bca,160.0,60.0,good,no
361,Male,ECE,GEN,bca,160.0,60.0,good,no
362,Male,ECE,GEN,bca,160.0,60.0,good,no
363,Male,ECE,GEN,bca,160.0,60.0,good,no
364,Male,ECE,GEN,bca,160.0,60.0,good,no
365,Male,ECE,GEN,bca,160.0,60.0,good,no
366,Male,ECE,GEN,bca,160.0,60.0,good,no
367,Male,ECE,GEN,bca,160.0,60.0,good,no
368,Male,ECE,GEN,bca,160.0,60.0,good,no
369,Male,ECE,GEN,bca,160.0,60.0,good,no
370,Male,ECE,GEN,bca,160.0,60.0,good,no
371,Male,ECE,GEN,bca,160.0,60.0,good,no
372,Male,ECE,GEN,bca,160.0,60.0,good,no
373,Male,ECE,GEN,bca,160.0,60.0,good,no
374,Male,ECE,GEN,bca,160.0,60.0,good,no
375,Male,ECE,GEN,bca,160.0,60.0,good,no
376,Male,ECE,GEN,bca,160.0,60.0,good,no
377,Male,ECE,GEN,bca,160.0,60.0,good,no
378,Male,ECE,GEN,bca,160.0,60.0,good,no
379,Male,ECE,GEN,bca,160.0,60.0,good,no
380,Male,ECE,GEN,bca,160.0,60.0,good,no
381,Male,ECE,GEN,bca,160.0,60.0,good,no
382,Male,ECE,GEN,bca,160.0,60.0,good,no
383,Male,ECE,GEN,bca,160.0,60.0,good,no
384,Male,ECE,GEN,bca,160.0,60.0,good,no
385,Male,ECE,GEN,bca,160.0,60.0,good,no
386,Male,ECE,GEN,bca,160.0,60.0,good,no
387,Male,ECE,GEN,bca,160.0,60.0,good,no
388,Male,ECE,GEN,bca,160.0,60.0,good,no
389,Male,ECE,GEN,bca,160.0,60.0,good,no
390,Male,ECE,GEN,bca,160.0,60.0,good,no
391,Male,ECE,GEN,bca,160.0,60.0,good,no
392,Male,ECE,GEN,bca,160.0,60.0,good,no
393,Male,ECE,GEN,bca,160.0,60.0,good,no
394,Male,ECE,GEN,bca,160.0,60.0,good,no
395,Male,ECE,GEN,bca,160.0,60.0,good,no
396,Male,ECE,GEN,bca,160.0,60.0,good,no
397,Male,ECE,GEN,bca,160.0,60.0,good,no
398,Male,ECE,GEN,bca,160.0,60.0,good,no
399,Male,ECE,GEN,bca,160.0,60.0,good,no
400,Male,ECE,GEN,bca,160.0,60.0,good,no
401,Male,ECE,GEN,bca,160.0,60.0,good,no
402,Male,ECE,GEN,bca,160.0,60.0,good,no
403,Male,ECE,GEN,bca,160.0,60.0,good,no
404,Male,ECE,GEN,bca,160.0,60.0,good,no
405,Male,ECE,GEN,bca,160.0,60.0,good,no
406,Male,ECE,GEN,bca,160.0,60.0,good,no
407,Male,ECE,GEN,bca,160.0,60.0,good,no
408,Male,ECE,GEN,bca,160.0,60.0,good,no
409,Male,ECE,GEN,bca,160.0,60.0,good,no
410,Male,ECE,GEN,bca,160.0,60.0,good,no
411,Male,ECE,GEN,bca,160.0,60.0,good,no
412,Male,ECE,GEN,bca,160.0,60.0,good,no
413,Male,ECE,GEN,bca,160.0,60.0,good,no
414,Male,ECE,GEN,bca,160.0,60.0,good,no
415,Male,ECE,GEN,bca,160.0,60.0,good,no
416,Male,ECE,GEN,bca,160.0,60.0,good,no
417,Male,ECE,GEN,bca,160.0,60.0,good,no
418,Male,ECE,GEN,bca,160.0,60.0,good,no
419,Male,ECE,GEN,bca,160.0,60.0,good,no
420,Male,ECE,GEN,bca,160.0,60.0,good,no
421,Male,ECE,GEN,bca,160.0,60.0,good,no
422,Male,ECE,GEN,bca,160.0,60.0,good,no
423,Male,ECE,GEN,bca,160.0,60.0,good,no
424,Male,ECE,GEN,bca,160.0,60.0,good,no
425,Male,ECE,GEN,bca,160.0,60.0,good,no
426,Male,ECE,GEN,bca,160.0,60.0,good,no
427,Male,ECE,GEN,bca,160.0,60.0,good,no
428,Male,ECE,GEN,bca,160.0,60.0,good,no
429,Male,ECE,GEN,bca,160.0,60.0,good,no
430,Male,ECE,GEN,bca,160.0,60.0,good,no
431,Male,ECE,GEN,bca,160.0,60.0,good,no
432,Male,ECE,GEN,bca,160.0,60.0,good,no
433,Male,ECE,GEN,bca,160.0,60.0,good,no
434,Male,ECE,GEN,bca,160.0,60.0,good,no
435,Male,ECE,GEN,bca,160.0,60.0,good,no
436,Male,ECE,GEN,bca,160.0,60.0,good,no
437,Male,ECE,GEN,bca,160.0,60.0,good,no
438,Male,ECE,GEN,bca,160.0,60.0,good,no
439,Male,ECE,GEN,bca,160.0,60.0,good,no
440,Male,ECE,GEN,bca,160.0,60.0,good,no
441,Male,ECE,GEN,bca,160.0,60.0,good,no
442,Male,ECE,GEN,bca,160.0,60.0,good,no
443,Male,ECE,GEN,bca,160.0,60.0,good,no
444,Male,ECE,GEN,bca,160.0,60.0,good,no
445,Male,ECE,GEN,bca,160.0,60.0,good,no
446,Male,ECE,GEN,bca,160.0,60.0,good,no
447,Male,ECE,GEN,bca,160.0,60.0,good,no
448,Male,ECE,GEN,bca,160.0,60.0,good,no
449,Male,ECE,GEN,bca,160.0,60.0,good,no
450,Male,ECE,GEN,bca,160.0,60.0,good,no
451,Male,ECE,GEN,bca,160.0,60.0,good,no
452,Male,ECE,GEN,bca,160.0,60.0,good,no
453,Male,ECE,GEN,bca,160.0,60.0,good,no
454,Male,ECE,GEN,bca,160.0,60.0,good,no
455,Male,ECE,GEN,bca,160.0,60.0,good,no
456,Male,ECE,GEN,bca,160.0,60.0,good,no
457,Male,ECE,GEN,bca,160.0,60.0,good,no
458,Male,ECE,GEN,bca,160.0,60.0,good,no
459,Male,ECE,GEN,bca,160.0,60.0,good,no
460,Male,ECE,GEN,bca,160.0,60.0,good,no
461,Male,ECE,GEN,bca,160.0,60.0,good,no
462,Male,ECE,GEN,bca,160.0,60.0,good,no
463,Male,ECE,GEN,bca,160.0,60.0,good,no
464,Male,ECE,GEN,bca,160.0,60.0,good,no
465,Male,ECE,GEN,bca,160.0,60.0,good,no
466,Male,ECE,GEN,bca,160.0,60.0,good,no
467,Male,ECE,GEN,bca,160.0,60.0,good,no
468,Male,ECE,GEN,bca,160.0,60.0,good,no
469,Male,ECE,GEN,bca,160.0,60.0,good,no
470,Male,ECE,GEN,bca,160.0,60.0,good,no
471,Male,ECE,GEN,bca,160.0,60.0,good,no
472,Male,ECE,GEN,bca,160.0,60.0,good,no
473,Male,ECE,GEN,bca,160.0,60.0,good,no
474,Male,ECE,GEN,bca,160.0,60.0,good,no
475,Male,ECE,GEN,bca,160.0,60.0,good,no
476,Male,ECE,GEN,bca,160.0,60.0,good,no
477,Male,ECE,GEN,bca,160.0,60.0,good,no
478,Male,ECE,GEN,bca,160.0,60.0,good,no
479,Male,ECE,GEN,bca,160.0,60.0,good,no
480,Male,ECE,GEN,bca,160.0,60.0,good,no
481,Male,ECE,GEN,bca,160.0,60.0,good,no
482,Male,ECE,GEN,bca,160.0,60.0,good,no
